Tweet,Polarity,Subjectivity
In spring of this year I sowed beet as salad leaf  and didnt like it  Left some plants and they developed into t,0.05,0.15
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
Sunday gardening ��‍�,0.0,0.0
rock,0.0,0.0
어떻게 지내 - 정원       00:00 ────♡──── 02:09    ⇆          ◀          ❚❚          ▶           ↻,0.0,0.0
spade,0.0,0.0
"Please say no to poisonous slug pellets, pesticides and weedkillers Hedgehogs hoover up over 100 invertebrates every night P",0.0,0.0
Dont hang those gardening gloves up just yet There is plenty to do over the winter months to maintain your garden,0.0,0.0
"Gabriel Oak, hes a great mover ��Flowers Gardening Roses",0.8,0.75
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
"no but taylor swift really is my comfort person the way she spends her day by reading books, writing songs, making presents",0.2,0.2
 ,0.0,0.0
Landscape maintenance where ev,0.0,0.0
Happy GardensHour everyone ��� my fatsia japonica is flowering ������� Flowers gardening flowerreport Ancoats,0.8,1.0
"YouGarden Gardening website offering grow-your-own fruit, veg, and flowering plants, delivered to your door at a",0.0,0.0
Somehow managed 10k followers on my Instagram � The only way to mark the occasion ���� gardenshour garde,0.0,1.0
"Then goes on to German Parliament & lectures, still with Gongs blazing, how English exported Landscape Gardening  y",0.0,0.0
‘Red Velvet Elvis Louisiana iris is making its first appearance of the season❤️  I am always intrigued by the buds open,0.08333333333333333,0.27777777777777773
Kiddo guerrilla gardening standing up to the weather ���,0.0,0.0
Fire and water warming a wet and windy day Hope Gardening Photography Red Bamboo,-0.05,0.2
"Here come the hellebores I could never not have these growing in my garden - theyre a sight for sore eyes on dark, win",0.325,0.4
"HOT Convenient Horticultural Fruit Picker Gardening Apple Peach Picking Tools--free shipping, dandys",0.25,0.8500000000000001
 Who is it Whore monthly Sex Digest Lolli,0.0,0.0
"My Swiss chard is reaching for the sun Germination , such an exciting part of gardening sundayvibes",0.15,0.65
asinine,0.0,0.0
 Who is it Whore monthly Sex Digest,0.0,0.0
Anemone hybrida Margarete in our November garden  mygarden garden gardeners gardening Norway plants,0.0,0.0
"Blessed to be a part of the Youth Backyard Gardening Initiative today Community, youth gathering to nurture ourselves, learn",0.0,0.0
�NEW AUTUMN GIVEAWAY�  Please follow   UK,0.0,0.0
Making the most of the sunshine and planting out some final tulips  lilac perfection  and fritillaries �� bulbs garden,0.25,0.75
�NEW AUTUMN GIVEAWAY�  Please follow   UK,0.0,0.0
"무한반복중,,,�",0.0,0.0
�NEW AUTUMN GIVEAWAY�  Please follow   UK,0.0,0.0
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
13 Reasons Why Gardening Is Good For Your Health,0.7,0.6000000000000001
Dont want an inactive accountheres my annual tweet Gardening in November is glorious,0.0,0.0
we love a queen with healthy coping mechanisms gardening house renovation LOVE THAT FOR HER,0.5,0.5666666666666668
Gorgeous Ceramic Pot Delivery    Gardening with Creekside  via YouTube,0.7,0.9
"Soggy doesnt seem to a word that spell checker knows must be Yorkshire term, perhaps drenched will do rain water gardenin",0.0,0.0
"The love of gardening is a seed once sown that never dies, but never grows to the enduring happiness that the love",0.5666666666666667,0.4666666666666666
ENHYPEN BORDER : DAY ONE Intro : Walk the Line    BORDER DAY ONE Intro Walk the Line,0.0,0.0
great read as usu,0.8,0.75
Top 10 Dark Colored Flowers That Are Almost Black  via  May I please have a whole,0.09583333333333333,0.43333333333333335
Silk Artificial Flowers for Wedding Decoration    bloomyflowers flowers,-0.6,1.0
Top 10 Dark Colored Flowers That Are Almost Black  via  May I please have a whole,0.09583333333333333,0.43333333333333335
"Walk The Line  We walk under the first days sun Every step we take, agony turns to bliss We walk under the fir",0.25,0.3333333333333333
Top 10 Dark Colored Flowers That Are Almost Black  via  May I please have a whole,0.09583333333333333,0.43333333333333335
Delighted illus,0.7,0.7
Top 10 Dark Colored Flowers That Are Almost Black  via  May I please have a whole,0.09583333333333333,0.43333333333333335
Top 10 Dark Colored Flowers That Are Almost Black  via  May I please have a whole,0.09583333333333333,0.43333333333333335
HEALTHIER TOMATOES + PEPPERS WITH EPSOM SALT     Seed Guy Non GMO Heirloom Seed Packages From 2020 H,0.0,0.0
홀 대박,0.0,0.0
them,0.0,0.0
Where has the weekend gone Its almost over � happy Sunday though � Daylily GardenersWorld gardening Garden Flowe,0.8,1.0
My tomatoes greenthumb gardening tomatoes Ontario,0.0,0.0
Fire and water warming a wet and windy day Hope Gardening Photography Red Bamboo,-0.05,0.2
Walk the Line    BORDER DAY ONE Intro Walk the Line,0.0,0.0
"Gabriel Oak, hes a great mover ��Flowers Gardening Roses",0.8,0.75
