Tweet,Polarity,Subjectivity
"I know were all laughing at the pathetic street gangs marching in DC and at the ineptness of the Trump coup, but lets not l",-1.0,1.0
BLM and Antifa threaten and intimidate an elderly Trump Supporter out of BLM Plaza   Unknown liquids can be seen b,-0.1,0.6
Exhibit C - AP fact check The fact that these straight up seditious lies are being broadcast by w,0.2,0.4
leur,0.0,0.0
Joe Biden is going to have to escort Donald J trump out of the white house � with the FBI Military Police Sad sore looser,-0.19999999999999998,0.3666666666666667
President,0.0,0.0
Experts believe what made the difference was,0.0,0.0
JonesTown  TrumpTown   Same thing  Fed cops  Arrest Trump  IT IS MURDER,-0.025,0.0625
"“Theyve been dealing with Trump for 4 years, theyre gonna have to start dealing with us in their faces” Trump supporter",0.0,0.0
exactly,0.25,0.25
dc,0.0,0.0
"Ive worked w  Ellis He is a partisan political operative In my opinion he is unqualified, lacks judgment & is dangerously",-0.3,0.5
ANTIFA propagandists confirmed   They have been watching closing and are refusing to report on violent attacks agai,-0.2,1.0
"to animal rescuers who support Trump, why",0.0,0.0
YEAH I VOTED FOR TRUMP As a Black Man is bothers me to know the ELECTION was stolen from us Its like I dont have a VO,-0.16666666666666666,0.43333333333333335
White woman wearing BLM shirt attacking a black woman and her daughter who support Trump,-0.08333333333333333,0.21666666666666667
�,0.0,0.0
"After losing the election, note Trump is losing the election cases he brought -- its largely irrelevant because they wouldn",-0.5,1.0
A message for Trump from Sydney skywriters ����✈️ ping marcaross,0.0,0.0
His real lawyers all quit or lost in court so now the TV lawyers are being directed to make sure Trumps voters are as angry a,0.06666666666666665,0.7296296296296297
Trump,0.0,0.0
 FUN FACT 2: THE VOTE COU,0.3,0.2
⁦c,0.0,0.0
Here is a pro Trump marcher taking a knife from an apprehended BLM female protester,0.0,0.16666666666666666
自分で情報を取りに行かないと待ってれば誰かが本当のことを教えてくれるなんて都合のいいことは起こりません,0.0,0.0
to,0.0,0.0
Donald Trumps Proud Boys rioting in downtown DC tonight Where is DCPoliceDept,0.8,1.0
Why am I not hearing condemnation from all of you Biden supporters for the violence being unleashed in Washington DC to,0.0,0.0
Donald Trumps Proud Boys rioting in downtown DC tonight Where is DCPoliceDept,0.8,1.0
Trumps latest budget will cut Social Security by $26 Billion NYT,0.26666666666666666,0.48333333333333334
Is THIS what trump meant when he hold his terrorist Proud Boys to stand back and stand by  THEY ARE RIOTING   WHERES T,0.4,0.5
"Massive Crowds March in DC to Show Support for Trump, Demand Election Integrity  via epochtimes",0.0,1.0
First manned space Mission in a decade while President Trump is still in office Will it continue with a Biden admi,0.25,0.3333333333333333
n,0.0,0.0
Donald Trump has sexually harassed more women than confirmed cases of voter fraud in the election,0.4666666666666666,0.7777777777777778
